Date,Position,Strategy_Return,Equity,BuyHold_Return,BuyHold_Equity
2023-11-09,0.0,0.0,1.0,0.0004872741219451954,1.0004872741219453
2023-11-10,0.0,-0.0,1.0,-0.0073174147478127114,0.9931662937872865
2023-11-13,0.0,-0.0,1.0,-0.0019760478168334753,0.9912037497006956
2023-11-14,0.0,0.0,1.0,0.0007401124674648992,0.991937351953647
2023-11-15,0.0,0.0,1.0,0.007007638920677614,0.9988884907480713
2023-11-16,0.0,-0.0,1.0,-0.009719237314466705,0.9891800564558013
2023-11-17,0.0,-0.0,1.0,-0.0012016193627229423,0.9879914385467446
2023-11-20,0.0,0.0,1.0,0.002309505362703088,0.9902732100723731
2023-11-21,0.0,0.0,1.0,0.0013272996459927282,0.9915875993535384
2023-11-22,0.0,-0.0,1.0,-0.010287143689348457,0.9813869952384124
2023-11-23,0.0,0.0,1.0,0.004812911678482681,0.9861103241689065
2023-11-24,0.0,-0.0,1.0,-0.006623000566441769,0.9795793149333618
2023-11-27,0.0,-0.0,1.0,-0.007395850289109238,0.9723344929738065
2023-11-28,0.0,0.0,1.0,0.0018718775394219215,0.9741545840720094
2023-11-29,0.0,-0.0,1.0,-0.008623057158293866,0.9657543934125425
2023-11-30,0.0,0.0,1.0,0.0022592553874450343,0.9679362792288085
2023-12-01,0.0,-0.0,1.0,-0.003817146342979234,0.9642415248003133
2023-12-04,0.0,-0.0,1.0,-0.0065504844526434345,0.9579252756835157
2023-12-05,0.0,-0.0,1.0,-0.01922324710330887,0.9395108414025461
2023-12-06,0.0,0.0,1.0,0.0015720338381809782,0.9409877842365689
2023-12-07,0.0,-0.0,1.0,-0.0024503664817656797,0.9386820193103247
2023-12-08,0.0,0.0,1.0,0.0024091441017418816,0.9409434395605574
2023-12-11,0.0,0.0,1.0,0.00586312116070555,0.946460304952072
2023-12-12,0.0,0.0,1.0,0.002147190207828483,0.9484925352509634
2023-12-13,0.26572504826898563,-0.004472113450992668,0.9955278865490074,-0.016829852812617348,0.9325295454888234
2023-12-14,0.4963368471928224,-0.002606664248044494,0.9929328795992088,-0.00525180482325107,0.9276320823240011
2023-12-15,0.3967685510441851,-0.0012341294980218313,0.9917074718429397,-0.003110451911508469,0.9247467273403598
2023-12-18,0.31722251031036564,-0.0011583867555735117,0.9905586910421535,-0.003651653706542338,0.9213698725258544
2023-12-19,0.253655050899542,0.00035553851168079585,0.9909108728048991,0.0014016614706466222,0.9226613211763885
2023-12-20,0.20284541661881167,-0.0022353946187843206,0.9886957959721362,-0.011020187964044992,0.9124934199898707
2023-12-21,0.16222604895344594,0.001633447712036872,0.9903107788579673,0.010068960703750006,0.9216812803781792
2023-12-22,0.387426535598335,0.0007390352601182755,0.9910426534420184,0.0019075494118566813,0.923439432962484
2023-12-25,0.5877204846079767,0.0017970915214066245,0.9928236477918715,0.0030577316402461735,0.9262630629345044
2023-12-26,0.7641513758150588,-0.005190361741096638,0.9876705339147165,-0.006792321397786528,0.9199715865121552
2023-12-27,0.8985469111383302,0.0031214608325851015,0.9907535088018298,0.0034738985732315946,0.9231674744939534
2023-12-28,0.904634409135526,0.02095347779991176,1.0115132404536937,0.02316237099574294,0.9445502220293854
2023-12-29,1.0231278162936948,0.004953022898679767,1.0165232886959787,0.004841059757931528,0.9491228460985972
2024-01-02,1.0880589996604133,-0.014287499970759366,1.0019997122384587,-0.01313118128264969,0.9366597419469721
2024-01-03,1.1445073956049931,-0.0027239678529983827,0.9992702972336076,-0.0023800351692428146,0.9344304588195245
2024-01-04,1.1522348637655302,-0.01070802207067384,0.9885700888362613,-0.00929326338527874,0.9257465504504878
2024-01-05,1.1518022351981982,-0.006190179343551276,0.9824506626926944,-0.00537434218686517,0.9207712717100569
2024-01-08,0.9214172894289808,-0.011992924838406784,0.9706682057375781,-0.013015736709085434,0.9087867552681891
2024-01-09,0.7371181531066023,0.0014431727276370415,0.9720690476196828,0.0019578580741157372,0.9105660307546404
2024-01-10,0.5896844886700222,-0.00275922278512227,0.9693868925547785,-0.004679151034386943,0.9063053547699571
2024-01-11,0.4717411694909277,0.0026613081687514523,0.971966729810615,0.005641458369264999,0.9114182386987337
2024-01-12,0.3773888259685786,-0.0013191737248245876,0.9706845368392452,-0.0034955293693153017,0.9082323494776327
2024-01-15,0.3019084306669518,-0.0002989151719698743,0.9703943845039873,-0.0009900855412004726,0.9073331217603643
2024-01-16,0.5281374660445713,0.00320326835234044,0.9735028181251578,0.006065217028306992,0.9128362940608122
2024-01-17,0.8225165377083261,-0.0180885969467582,0.9558935180215585,-0.021991772952257196,0.892761405539247
2024-01-18,0.6580102952772242,0.009237231329505578,0.9647233275738984,0.014038125840590183,0.9052941024958291
2024-01-19,0.793014178346957,-0.0011995954484272204,0.9635660498611492,-0.0015127036579948476,0.9039246607954226
2024-01-22,0.8936812568431073,-0.014015654422349645,0.9500610410931869,-0.015683057370878935,0.8897483584812157
2024-01-23,0.7149433728137974,0.002888231747706346,0.9528050375543312,0.004039804909777894,0.8933427682682749
2024-01-24,0.5719536533524923,0.007940151375748059,0.9603704537840878,0.01388250836270921,0.905744606719525
2024-01-25,0.5999942974354822,0.011929496993809038,0.9718271902254482,0.019882683960161848,0.9237532404835503
2024-01-26,0.6257608418034145,-0.0017057233111932618,0.9701695219326292,-0.002725839006284644,0.9212352378684584
2024-01-29,0.6480075770577874,-0.005830174034200153,0.9645132647770852,-0.00899707694880894,0.9129468135454016
2024-01-30,0.6696510309312009,-0.012049733095775056,0.9528911373691867,-0.01799404845090581,0.8965192043493656
2024-01-31,0.6846040367940821,-0.006292498256906609,0.9468950715482694,-0.009191441941203879,0.888278900133414
2024-02-01,0.5476829671466049,0.000401817166367845,0.9472755502427664,0.0007336674508270507,0.8889306014496985
2024-02-02,0.4381462058526857,-0.005216180230536426,0.9423343902447197,-0.01190511331801928,0.8783477819075848
2024-02-05,0.3505168572488798,0.002284397511220561,0.9444870565805322,0.006517225816613309,0.8840721727477979
2024-02-06,0.28041341704184974,0.009583574001478733,0.9535386181807105,0.034176588633233806,0.9142867437178885
2024-02-07,0.3912687922430047,0.0037555515208513557,0.9571196815884097,0.009598392704212661,0.9230624269283487
2024-02-08,0.45439477058118594,0.0028854668041622244,0.9598814186572433,0.006350132067918865,0.9289239952462774
2024-02-19,0.5244977551835971,0.0060255715603233775,0.9656652528347873,0.011488269493573266,0.9395957244427133
2024-02-20,0.5337908471603522,0.001102889848037492,0.9667302752387413,0.002066146045599356,0.9415370664332327
2024-02-21,0.5653023065870659,0.00757620047637293,0.9740544176105291,0.013402033545755698,0.9541555777821432
2024-02-22,0.5977438547955757,0.005130742932428479,0.9790520404294851,0.008583514311800258,0.9623455858397203
2024-02-23,0.6053096104074603,0.0005327502328301565,0.9795736306319767,0.0008801284890744409,0.963192573606153
2024-02-26,0.6720902764461011,-0.007043190769769624,0.9726743066783997,-0.010479530825848005,0.9530987673398195
2024-02-27,0.8256390584121291,0.009846239481739199,0.9822514908396898,0.011925597973375324,0.9644650400680337
2024-02-28,0.9356036011648337,-0.011997905390449832,0.9704665303829668,-0.01282370586807527,0.9520970240741599
2024-02-29,1.005625160629697,0.019003461128283865,0.9889087533694001,0.018897161559068766,0.9700889553579978
2024-03-01,1.0464395225016563,0.006444313539241072,0.9952815914378126,0.0061583239171195125,0.9760630773735124
2024-03-04,1.0535238968923655,0.000913841303136534,0.9961911208643198,0.0008674139294154973,0.9769097280828144
2024-03-05,1.0491628046994954,0.007275536050493555,1.0034389452773498,0.00693461111841211,0.9836842171448624
2024-03-06,0.9751497178065947,-0.003962770247574075,0.9994625472797476,-0.004063755724082594,0.9796867647767503
2024-03-07,0.9994699313441464,-0.006021615204735089,0.9934441684084846,-0.006024808767019998,0.9737843393673898
2024-03-08,1.0430022899695344,0.004478868373206318,0.9978936740749155,0.0042942076122739325,0.9779659714902144
2024-03-11,1.11517211065183,0.013865279263549626,1.0117297485412937,0.01243330884184794,0.9901253244505701
2024-03-12,1.2183697344782876,0.0027904584135122414,1.0145529383303116,0.0022903215128756713,0.9923930297816024
2024-03-13,1.3127465747425906,-0.00920222939772154,1.0052167894556636,-0.007009905472064138,0.985436448451698
2024-03-14,1.3863053492287785,-0.003940620214910726,1.001255611854767,-0.0028425340904173453,0.9826353117530342
2024-03-15,1.4394096790744377,0.003136263740358519,1.0043958135250577,0.0021788541413554924,0.9847763307714894
2024-03-18,1.5084514886844895,0.014105736204835045,1.018563555915883,0.009351136785404059,0.9939851089435618
2024-03-19,1.5711110917380164,-0.011333039331003015,1.0070201350755619,-0.007213391459458173,0.9868151052478797
2024-03-20,1.6366510125063698,0.0035415420923075517,1.0105865392717333,0.0021638957024100263,0.9889504702131988
2024-03-21,1.682014706177223,-0.0020136828972639378,1.0085515384413966,-0.0011971850720856711,0.9877665134732275
2024-03-22,1.7287162124293065,-0.017510318476557155,0.9908914798032661,-0.010129087903878968,0.9777613396297491
2024-03-25,1.7829729700463777,-0.009703190930033662,0.9812766705837914,-0.005442141352137979,0.9724402242108282
2024-03-26,1.426378375495895,0.007259509753855421,0.9884002581451253,0.005089469861972338,0.9773894294245189
2024-03-27,1.5164098772395924,-0.01762930134852473,0.9709754521413253,-0.01162568353921326,0.9660266092234573
2024-03-28,1.2131279014970857,0.006276558352870225,0.9770698362258949,0.0051738636504234286,0.9710246991822604
2024-03-29,0.970502321009132,0.004542858395307272,0.9815085261341953,0.004680935116758495,0.9755700027959026
2024-04-01,1.0978881351206562,0.01790672085205863,0.9990841253255959,0.016310150623943767,0.991481696485705
2024-04-02,1.0533420023724882,-0.004394592264525664,0.9946935579568297,-0.004172046927424836,0.987345188320284
2024-04-03,1.048075550018334,-0.0037767762957776414,0.9909368229055756,-0.003603534397602896,0.9837872559718641
2024-04-08,1.1515857868688213,-0.010176689805384472,0.9808523662421323,-0.008837109593940927,0.9750934201737184
2024-04-09,1.2229524172765813,-0.0010101771645008827,0.9798615315800079,-0.0008260151010212381,0.9742879782837485
2024-04-10,1.3358588872908683,-0.010925029827408936,0.9691565151207657,-0.008178281352430103,0.9663199770790536
2024-04-11,1.0686871097891557,-0.00014331722630634761,0.9690176182971619,-0.00013410588093892427,0.9661903878872585
2024-04-12,0.8549496878034596,-0.0069571183581853095,0.9622760480355017,-0.008137459382036348,0.958328052850512
2024-04-15,0.6839597502249342,0.014262089629369742,0.9760001152807797,0.020852235273609833,0.9783113348778513
2024-04-16,0.7717041169992832,-0.008300588071478059,0.9678987403661189,-0.010756179588304268,0.9677884424666314
2024-04-17,0.7984649460869131,0.012251617986781652,0.9797570659829719,0.015343964749891551,0.9826381542131919
2024-04-18,0.8746036179474103,0.0010787040444305979,0.9808139338926072,0.001233363345743054,0.9838501040947271
2024-04-19,0.9073015295844449,-0.0071804446587818375,0.9737712537197292,-0.00791406651994797,0.9760638489252637
2024-04-22,0.9459944298103682,-0.0028784251878630524,0.9709683260158053,-0.003042750672897783,0.973093929992155
2024-04-23,0.9660843330659448,-0.006776349837512702,0.9643887049575781,-0.007014242551690515,0.9662684131416124
2024-04-24,0.9187442455968441,0.004026505564625592,0.9682718214445518,0.004382618540385907,0.970503199004036
2024-04-25,0.7349953964742599,0.0018051868579017937,0.9700197330115002,0.0024560519243538048,0.9728868052535413
2024-04-26,0.5879963171773502,0.008924394267942472,0.9786765715565792,0.015177636334158731,0.987652927377981
2024-04-29,0.8001664450441327,0.008800787987779092,0.9872896965714552,0.010998696636540026,0.9985158223084022
2024-04-30,0.9831129303270223,-0.005309804731412096,0.9820473810693257,-0.005401011997315349,0.9931228263726053
2024-05-06,1.1054601127883428,0.01628474892534312,0.9980397761028303,0.01473119539724278,1.0077527127813624
2024-05-07,1.1715739586049405,0.0003619098655755976,0.9984009765440388,0.0003089091072035641,1.0080640167721495
2024-05-08,1.2015207342736844,-0.009491265564296525,0.9889248877360064,-0.00789937725879859,1.0001009388026465
2024-05-09,1.20957361892468,0.011388190198031046,1.0001869524491105,0.00941504511991195,1.0095169342659398
2024-05-10,1.217827772355291,0.0005714565051822409,1.0007585157894858,0.0004692424644554117,1.0099906424800842
2024-05-13,1.2466827185044709,-0.000540811143178695,1.0002172944325158,-0.0004338001442961011,1.0095525083936387
2024-05-14,1.2977553735136653,-0.002708294820060931,0.9975084111150688,-0.0020869070360527487,1.0074456661606073
2024-05-15,1.367838928992874,-0.011640513531994592,0.9858969009572055,-0.008510149320406741,0.9988721531093839
2024-05-16,1.4638010776220471,0.005761421285695672,0.9915770683478816,0.003935931851515735,1.0028036458323992
2024-05-17,1.5671807772979809,0.016108039141373275,1.0075494305765174,0.010278354210766665,1.0131108169081129
2024-05-20,1.627217585873588,0.005736942172250277,1.0133296833954184,0.0035256146578395917,1.0166826552542199
2024-05-21,1.663094106846939,-0.006682097623943418,1.0065585155257306,-0.00401787102511716,1.0125977554719348
2024-05-22,1.6966077448629238,0.00382168072672417,1.0104052608048355,0.0022525423087897904,1.0148786747579208
2024-05-23,1.7326856903580043,-0.02017871507964323,0.9900165809320821,-0.011645917774893114,1.0030594811601976
2024-05-24,1.7624124828187555,-0.019616467064856775,0.9705959532785658,-0.011130463076091427,0.9918949646420205
2024-05-27,1.4099299862549157,0.013337285926227106,0.983541069026281,0.00945953774744083,1.0012778325015483
2024-05-28,1.1279439890038758,-0.008263991100585084,0.975413094384788,-0.00732659704839004,0.9939418732893242
2024-05-29,0.9023551912030643,0.0010869450880023176,0.9764733148565026,0.001204564564595843,0.9951391404491566
2024-05-30,0.7218841529624282,-0.0038478707358798538,0.9727159717638986,-0.0053303161180213955,0.9898347342491466
2024-05-31,0.5775073223699276,-0.002316742143098971,0.9704624396788477,-0.0040116238415674335,0.9858638896300211
2024-06-03,0.7497190201939504,0.001846948162023,0.9722548334981248,0.0024635204820403237,0.9882925855146285
2024-06-04,0.5997752161551505,0.004482242090420857,0.9766127150354453,0.007473203242965255,0.9956782968696949
2024-06-05,0.8287107394768664,-0.004799536114393883,0.9719254270398564,-0.005791569827396768,0.9899117564877505
2024-06-06,1.0255912080300384,-0.0007249275988043625,0.9712208514738154,-0.0007068387415262731,0.9892120485075726
2024-06-07,1.182773954010518,-0.005987820308197298,0.9654053555356158,-0.005062522968056541,0.9842041397917247
2024-06-11,1.324512338945429,-0.011624319664554319,0.954183175076997,-0.008776301528311584,0.9755664674955
2024-06-12,1.0596098711563375,0.00037086626208919824,0.9545370494244861,0.00035000264926229597,0.9759079183436549
2024-06-13,0.8476878969250664,-0.00431388900102966,0.9504192825458985,-0.005089006244725231,0.9709415168529273
